State,County,FIPS,State population age 18-64,State disability population age 18-64,State disability prevalence,State DI disabled workers,"State DI disabled workers per 1,000 persons age 18-64",State SSI recipients age 18-64,"State SSI recipients per 1,000 persons age 18-64",County population age 18-64,County disability population age 18-64,County disability prevalence,County DI disabled workers,"County DI disabled workers per 1,000 persons age 18-64",County SSI recipients age 18-64,"County SSI recipients per 1,000 persons age 18-64"
New York,Cayuga,36011,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,45425,5373,11.828288387451844,2590,57.017061089708314,928,20.429279031370392
New York,Chautauqua,36013,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,76757,10217,13.310838099456726,5245,68.33252993212345,2402,31.29356280208971
New York,Chemung,36015,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,49200,6340,12.886178861788618,3780,76.82926829268293,1712,34.796747967479675
New York,Chenango,36017,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,28419,4847,17.0554910447236,2120,74.59798022449769,865,30.4373834406559
New York,Clinton,36019,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,49313,6400,12.978322146290026,4025,81.62147912315211,1782,36.13651572607629
New York,Columbia,36021,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,35630,4522,12.69155206286837,2010,56.41313499859669,780,21.89166432781364
New York,Cortland,36023,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,30965,3173,10.247053124495398,1475,47.634425964798965,598,19.312126594542224
New York,Delaware,36025,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,26925,3251,12.074280408542247,1615,59.98142989786444,616,22.87836583101207
New York,Dutchess,36027,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,182405,18843,10.33030892793509,8480,46.4899536745155,2632,14.429429017844905
New York,Erie,36029,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,566615,60575,10.690680620880139,30830,54.41084334159879,12885,22.740308675202737
New York,Essex,36031,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,21015,2744,13.057339995241493,1375,65.42945515108256,439,20.889840590054725
New York,Franklin,36033,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,28261,3763,13.315169314603164,2065,73.06889352818372,1123,39.736739676586105
New York,Fulton,36035,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,32428,4471,13.787467620574812,2585,79.71506105834465,1100,33.921302578018995
New York,Genesee,36037,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,35596,4295,12.065962467693,2080,58.43353185751208,650,18.260478705472526
New York,Greene,36039,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,26969,3339,12.380881753123957,2015,74.71541399384478,720,26.697319144202602
New York,Hamilton,36041,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,2601,405,15.570934256055363,140,53.82545174932718,NA,NA
New York,Herkimer,36043,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,37045,5024,13.561884194898097,2375,64.11121608854097,870,23.48495073559185
New York,Jefferson,36045,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,60607,7935,13.092547065520485,3530,58.244097216493145,1548,25.541604105136372
New York,Kings,36047,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,1652156,121086,7.328968935136876,47025,28.46280859676689,35696,21.605707935570248
New York,Lewis,36049,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,15692,1735,11.056589344889115,890,56.71679836859546,331,21.09355085393831
New York,Livingston,36051,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,39345,4224,10.735798703774305,2090,53.11983733638328,701,17.816749269284536
